Yil	ilKodu	ilAdi	Genel	Genel.Erkek	Genel.Kadin	OkurYazarDegil	OkurYazarDegil.Erkek	OkurYazarDegil.Kadin	OkulsuzOkurYazar	OkulsuzOkurYazar.Erkek	OkulsuzOkurYazar.Kadin	Ilkokul	Ilkokul.Erkek	Ilkokul.Kadin	Ilkogretim	Ilkogretim.Erkek	Ilkogretim.Kadin	Ortaokul	Ortaokul.Erkek	Ortaokul.Kadin	Lise	Lise.Erkek	Lise.Kadin	Lisans	Lisans.Erkek	Lisans.Kadin	Yuksek.Lisans	Yuksek.Lisans.Erkek	Yuksek.Lisans.Kadin	Doktora	Doktora.Erkek	Doktora.Kadin	Bilinmeyen	Bilinmeyen.Erkek	Bilinmeyen.Kadin
2015	74	  Bartın	156108	76290	79818	9061	1901	7160	12195	2910	9285	46318	20165	26153	30208	17152	13056	12650	7553	5097	27870	16335	11535	15739	9077	6662	954	618	336	250	163	87	863	416	447
2015	78	  Karabük	194569	97334	97235	11621	1770	9851	8599	2300	6299	49744	20520	29224	25361	14048	11313	18771	11523	7248	51258	29803	21455	26479	15675	10804	1663	1059	604	521	376	145	552	260	292
2015	81	  Düzce	280714	140574	140140	11751	1782	9969	14699	3690	11009	76241	31906	44335	49366	27855	21511	28330	16569	11761	63011	37909	25102	32740	18281	14459	1787	1090	697	615	418	197	2174	1074	1100
2016	14	  Bolu	242566	118950	123616	9693	1486	8207	9665	2847	6818	66407	27387	39020	28221	14751	13470	25526	14337	11189	64691	36565	28126	34201	19168	15033	2245	1339	906	837	519	318	1080	551	529
2016	18	  Çankırı	147015	72884	74131	8128	1308	6820	7617	2200	5417	42858	17874	24984	18990	10222	8768	17295	10148	7147	33256	19775	13481	16686	10040	6646	1048	688	360	276	185	91	861	444	417
2016	37	  Kastamonu	309483	153055	156428	21955	3867	18088	21866	6241	15625	96248	43411	52837	38550	21575	16975	31484	18649	12835	61334	37168	24166	34434	20092	14342	1888	1144	744	488	312	176	1236	596	640
2016	57	  Sinop	168003	82763	85240	8962	1799	7163	12474	3951	8523	54175	24514	29661	22286	12496	9790	18480	10487	7993	28810	16517	12293	20451	11685	8766	918	561	357	302	178	124	1145	575	570
2016	67	  Zonguldak	482804	236142	246662	31144	3906	27238	21259	4837	16422	134169	55572	78597	63667	38675	24992	57204	32170	25034	111427	66420	45007	57723	31247	26476	3138	1785	1353	853	501	352	2220	1029	1191
2016	74	  Bartın	158070	77249	80821	8504	1737	6767	11724	2704	9020	44308	19644	24664	27877	16086	11791	16376	8760	7616	30254	17523	12731	16817	9527	7290	1023	645	378	259	171	88	928	452	476
2016	78	  Karabük	198784	99219	99565	10991	1610	9381	8169	2059	6110	46991	19638	27353	22330	12505	9825	22363	12610	9753	56389	32170	24219	28790	16909	11881	1737	1106	631	542	394	148	482	218	264
